Invoice,TotalQuantity,TotalAmount,UniqueProducts,Customer ID,Anomaly
490677,100,151.72,10,18219,1
490678,93,380.65000000000003,12,12747,1
490679,335,379.15999999999997,45,18162,1
490680,245,293.35,21,17441,1
490681,65,164.75,44,17988,1
490682,68,285.9,5,12600,1
490683,304,413.00000000000006,15,17865,1
490684,62,74.56,4,12523,1
490685,1037,1066.82,82,13206,1
490686,106,153.28,9,14512,1
490687,325,924.95,40,14911,1
490689,133,307.91,18,17865,1
490690,58,207.9,3,16353,1
490691,72,306.0,1,16353,1
490692,203,195.78,20,16018,1
490693,97,190.47,56,14670,1
490694,408,1244.3200000000002,22,13089,1
490695,40,108.4,15,14590,1
490697,112,378.84000000000003,16,17850,1
490703,76,154.2,8,13070,1
490704,90,355.38,3,17457,1
490705,80,204.0,2,12913,1
490706,331,1088.63,36,17865,1
490707,70,45.9,16,17865,1
490708,95,241.05,13,15421,1
490709,127,198.98000000000002,54,17884,1
490710,84,332.70000000000005,5,17990,1
490711,148,448.96,73,17841,1
490712,100,331.40000000000003,20,13148,1
490714,1,4.95,1,17841,1
490717,209,449.95,41,17364,1
490718,182,485.31,21,12443,1
490719,442,668.1,75,13042,1
490720,85,357.87,5,15694,1
490722,217,386.39,25,16717,1
490724,306,716.04,12,13767,1
490725,308,343.44,4,13694,1
490726,288,561.5999999999999,3,13694,1
490727,146,285.35,34,17231,1
490728,198,221.51999999999998,27,16702,1
490733,71,412.6,7,12540,1
490734,105,306.55,9,13267,1
490737,264,389.62,15,17270,1
490738,10,25.5,1,16436,1
490747,3,8.92,2,13393,1
490749,268,580.6400000000001,10,14113,1
490750,192,312.96000000000004,3,15369,1
490751,309,1429.83,17,12358,1
490752,96,356.40000000000003,5,18259,1
490753,215,322.65,22,17047,1
490754,138,302.78000000000003,20,14136,1
490755,216,338.34000000000003,11,16735,1
490757,221,425.59000000000003,20,14215,1
490759,48,182.88,1,15971,1
490760,1,10.0,1,14295,1
490761,123,255.04000000000002,16,13382,1
490762,241,323.39,13,13025,1
490763,400,1020.0,1,16013,1
490764,107,306.45,10,14558,1
490767,22,44.32,13,18002,1
490769,180,221.0,3,16013,1
490770,65,135.94,15,17854,1
490782,255,707.9300000000001,28,15079,1
490785,984,2590.8,2,16029,1
490786,36,30.599999999999998,3,15079,1
490789,89,192.54999999999998,9,18271,1
490796,273,870.63,26,14290,1
490797,90,155.7,8,17268,1
490800,12,7.800000000000001,1,14735,1
490801,400,660.0,2,16029,1
490802,10,19.5,1,17067,1
490803,148,207.32,6,17067,1
490804,319,487.09000000000003,33,16560,1
490805,94,215.0,12,14861,1
490806,13,39.400000000000006,2,13485,1
490808,91,134.04,22,17371,1
490809,48,159.0,3,13408,1
490810,128,259.92,3,13408,1
490811,246,309.7,17,18145,1
490817,762,1806.19,56,15311,1
490823,288,304.8,10,14841,1
490834,326,564.38,40,16400,1
490836,2,2.9,1,17988,1
490838,3,20.25,3,17371,1
490846,272,129.3,10,17155,1
490847,371,249.64,9,15093,1
490851,90,311.8,10,13643,1
490855,216,363.6,2,13777,1
490863,59,88.05,12,17852,1
490871,315,211.41,22,15456,1
490881,1,10.0,1,16210,1
490893,76,111.24000000000001,12,13571,1
490899,473,792.84,47,16732,1
490905,461,656.85,53,16940,1
490917,74,312.9,12,15162,1
490920,22,109.08,14,18203,1
490921,12,42.300000000000004,2,16163,1
490922,30,114.3,1,14494,1
490924,91,123.1,25,17978,1
490925,277,648.5,14,13078,1
490926,122,250.02,34,15031,1
490927,84,304.20000000000005,6,17230,1
490928,145,404.44,49,14085,1
490930,48,81.12,1,13410,1
490932,8,12.4,1,14085,1
490933,888,2452.56,8,14063,1
490936,172,366.9,19,12785,1
490937,1376,2285.58,75,13081,-1
490938,139,215.3,31,14605,1
490940,1,0.95,1,14605,1
490941,190,644.52,60,14527,1
490944,48,151.2,2,14285,1
490945,21,97.55,15,16892,1
490948,1,15.0,1,16805,1
490953,428,966.6600000000001,57,13204,1
490954,103,102.82,14,15924,1
490956,1392,2442.7200000000003,6,15413,1
490957,1749,3796.3700000000003,153,15823,-1
490958,120,328.8,6,13576,1
490959,138,507.90000000000003,16,12682,1
490961,161,194.75,8,14108,1
490962,430,683.14,4,15061,1
490964,51,104.15,51,14646,1
490966,101,436.71000000000004,31,17178,1
490968,276,484.0,8,13798,1
490971,224,372.64,9,18275,1
490972,413,728.05,23,14911,1
490978,140,193.07999999999998,34,17329,1
490981,103,313.45,15,13855,1
490982,4,8.82,2,17329,1
490984,162,303.45,9,15298,1
490989,282,462.46,22,15674,1
490990,105,271.85,63,14606,1
490992,168,438.74,21,14679,1
490998,232,379.13,14,16253,1
490999,2,24.65,1,13883,1
491006,130,272.5,18,13557,1
491007,226,213.27,13,16204,1
491008,87,191.89,7,15633,1
491009,208,255.68,23,15203,1
491010,320,318.0,16,15194,1
491011,213,389.99,8,16210,1
491014,285,549.09,27,13136,1
491024,144,383.03999999999996,6,17157,1
491025,96,325.44,1,17157,1
491026,48,162.72,1,15181,1
491033,174,328.02000000000004,8,17188,1
491034,122,305.5,10,13491,1
491035,81,295.35,18,13455,1
491038,172,528.9,23,13097,1
491039,60,301.0,5,15291,1
491044,74,234.38,16,13114,1
491045,64,303.2,4,12747,1
491048,262,519.42,22,13768,1
491049,678,748.9,15,14135,1
491050,196,333.8,21,12712,1
491051,261,408.51000000000005,24,14291,1
491054,108,320.2,8,13202,1
491055,65,219.55,9,14732,1
491056,358,1007.74,11,17428,1
491057,28,77.8,5,14239,1
491058,193,307.95,13,16945,1
491059,174,285.3,2,12487,1
491060,72,392.4,2,17929,1
491061,81,233.53,12,13672,1
491062,80,124.0,3,12948,1
491063,46,203.3,8,16771,1
491064,69,185.9,48,16782,1
491067,338,333.3,4,18051,1
491068,267,700.4,51,15768,1
491069,418,521.05,19,12921,1
491070,68,383.8,9,16912,1
491071,106,194.10000000000002,5,12924,1
491072,5,15.45,5,12924,1
491073,324,95.75999999999999,5,15403,1
491074,8,23.6,1,14173,1
491075,112,187.8,8,14211,1
491077,164,433.05,65,14593,1
491078,137,259.11,20,16802,1
491079,171,588.85,17,14295,1
491081,102,308.0,15,15302,1
491082,545,1273.5,37,16709,1
491083,150,322.98,41,17954,1
491085,12,130.6,6,13727,1
491086,143,267.26,32,15911,1
491089,64,200.24,14,14990,1
491090,123,351.45,12,13141,1
491091,1544,3249.32,42,16705,-1
491092,351,844.12,50,13680,1
491093,410,1445.56,17,12709,1
491094,1,216.0,1,12709,1
491095,44,135.0,6,14171,1
491096,85,175.95000000000002,9,13983,1
491097,216,338.13,32,17296,1
491098,67,179.78,23,14080,1
491100,14,63.5,4,17631,1
491101,218,298.68,34,17449,1
491102,15,50.55,3,17184,1
491103,174,163.26,9,14107,1
491104,322,1552.9,7,12917,1
491105,143,212.58,37,16755,1
491109,104,143.36,22,13825,1
491111,185,321.67,34,15005,1
491112,111,174.33,6,13770,1
491113,431,893.33,120,14505,1
491116,139,301.57,13,15441,1
491118,373,580.79,67,16933,1
491122,412,601.6,21,13426,1
491123,384,380.36,44,17043,1
491124,362,327.38,17,13498,1
491125,424,966.24,14,15311,1
491126,274,389.34000000000003,21,16186,1
491127,68,256.2,11,18065,1
491129,12,50.7,2,18065,1
491131,2,1.7,1,16395,1
491132,72,171.60000000000002,7,17880,1
491133,1500,480.0,1,13848,1
491136,504,343.52,13,16746,1
491138,75,179.85,4,16168,1
491143,52,476.03999999999996,2,16029,1
491144,228,873.48,19,15077,1
491145,44,135.0,7,13728,1
491146,94,178.98000000000002,13,15209,1
491147,20,34.3,7,14710,1
491148,2604,3882.66,26,15061,-1
491149,360,289.92,9,15841,1
491150,240,435.6,6,16525,1
491151,260,661.16,8,14134,1
491152,124,436.8,6,15465,1
491153,147,300.35,16,16143,1
491154,123,289.85,14,17603,1
491158,270,275.73,13,15523,1
491159,140,291.0,4,15311,1
491160,147,377.57,19,14911,1
491161,37,109.35,3,14942,1
491163,72,179.6,8,13693,1
491164,17,33.55,14,15581,1
491165,422,737.7,14,14293,1
491169,10,8.5,1,12417,1
491170,415,328.99,35,17861,1
491171,55,203.85000000000002,20,15039,1
491172,450,730.59,10,16843,1
491173,151,248.49,27,15858,1
491174,216,228.96,1,17388,1
491175,169,347.54,9,15085,1
491176,1,1213.02,1,13091,1
491177,270,105.78,6,15642,1
491178,200,390.44,35,14099,1
491180,139,294.52000000000004,30,15719,1
491181,124,592.2,8,15854,1
491182,38,190.3,8,13019,1
491183,518,945.58,56,12978,1
491184,3,139.85000000000002,2,17027,1
491185,208,421.17,29,17377,1
491186,154,288.49,66,15889,1
491187,50,97.5,5,16748,1
491188,28,79.7,17,17377,1
491189,48,31.200000000000003,1,14113,1
491191,59,71.78999999999999,5,16459,1
491192,133,509.3,35,14527,1
491193,872,762.98,23,13091,1
491194,110,302.70000000000005,11,13173,1
491195,182,658.5,13,15805,1
491196,34,165.5,2,15912,1
491197,143,126.57,23,15912,1
491198,27,95.55,6,16596,1
491199,111,143.72,23,15912,1
491200,100,165.0,1,16663,1
491201,114,413.1,4,12989,1
491203,97,580.15,10,16985,1
491204,194,224.35999999999999,40,14648,1
