Customer ID,Recency,Frequency,Monetary,Cluster,Segment,AvgOrderValue
12486,432,1,1037.28,0,At Risk,1037.28
12487,731,1,285.3,0,At Risk,285.3
12488,10,3,1298.66,1,Regular,432.8866666666667
12489,336,1,334.93,0,At Risk,334.93
12490,5,21,9823.64,1,Regular,467.79238095238094
12491,39,1,460.4,1,Regular,460.4
12492,63,3,715.21,1,Regular,238.40333333333334
12493,166,2,433.74,1,Regular,216.87
12494,16,9,1872.87,1,Regular,208.09666666666666
12495,641,1,357.4,0,At Risk,357.4
12496,620,2,54.09,0,At Risk,27.045
12497,82,3,6248.5,1,Regular,2082.8333333333335
12498,21,3,403.7000000000001,1,Regular,134.5666666666667
12499,560,1,393.72,0,At Risk,393.72
12500,23,19,5955.21,1,Regular,313.4321052631579
12501,337,1,2169.39,0,At Risk,2169.39
12502,96,5,3723.87,1,Regular,744.774
12503,584,1,1126.0,0,At Risk,1126.0
12504,18,4,779.05,1,Regular,194.7625
12505,409,1,955.2,0,At Risk,955.2
12506,233,1,73.5,1,Regular,73.5
12507,134,4,1844.06,1,Regular,461.015
12508,26,2,398.27,1,Regular,199.135
12509,284,1,176.5,0,At Risk,176.5
12510,143,9,5178.02,1,Regular,575.3355555555556
12511,429,1,3084.02,0,At Risk,3084.02
12512,66,2,138.03,1,Regular,69.015
12513,113,1,612.29,1,Regular,612.29
12514,267,2,1597.76,0,At Risk,798.88
12515,353,1,383.7,0,At Risk,383.7
12516,78,4,2648.62,1,Regular,662.155
12517,28,5,2502.84,1,Regular,500.56800000000004
12518,1,5,2056.89,1,Regular,411.378
12519,64,2,726.54,1,Regular,363.27
12520,79,5,2634.26,1,Regular,526.8520000000001
12521,143,1,599.68,1,Regular,599.68
12522,39,2,192.72,1,Regular,96.36
12523,19,23,4372.15,1,Regular,190.09347826086955
12524,9,17,11126.11,1,Regular,654.4770588235294
12525,498,3,973.73,0,At Risk,324.57666666666665
12526,1,3,1316.66,1,Regular,438.8866666666667
12527,82,5,735.51,1,Regular,147.102
12528,9,6,1933.48,1,Regular,322.24666666666667
12529,528,1,316.48,0,At Risk,316.48
12530,60,9,3759.26,1,Regular,417.6955555555556
12531,15,2,1933.2,1,Regular,966.6
12532,30,1,349.83000000000004,1,Regular,349.83000000000004
12533,628,2,1367.89,0,At Risk,683.945
12534,131,1,1089.18,1,Regular,1089.18
12535,92,2,716.35,1,Regular,358.175
12536,43,3,12601.830000000002,1,Regular,4200.610000000001
12537,409,1,732.94,0,At Risk,732.94
12538,29,2,640.45,1,Regular,320.225
12539,22,7,11214.75,1,Regular,1602.107142857143
12540,20,33,22254.49,1,Regular,674.3784848484848
12541,30,3,981.18,1,Regular,327.06
12542,484,2,481.88,0,At Risk,240.94
12543,448,1,980.25,0,At Risk,980.25
12544,36,1,372.7,1,Regular,372.7
12545,75,2,1000.39,1,Regular,500.195
12546,47,2,1161.5,1,Regular,580.75
12547,198,3,383.58,1,Regular,127.86
12548,166,1,95.2,1,Regular,95.2
12549,576,6,1575.68,0,At Risk,262.61333333333334
12550,79,1,964.83,1,Regular,964.83
12551,358,1,168.0,0,At Risk,168.0
12552,39,2,437.82,1,Regular,218.91
12553,8,12,4608.75,1,Regular,384.0625
12554,449,1,468.5,0,At Risk,468.5
12555,682,1,129.23,0,At Risk,129.23
12556,50,2,603.71,1,Regular,301.855
12557,16,8,18716.14,1,Regular,2339.5175
12558,8,1,269.96,1,Regular,269.96
12559,311,2,561.71,0,At Risk,280.855
12560,5,3,2134.01,1,Regular,711.3366666666667
12561,303,1,238.85,0,At Risk,238.85
12562,8,9,4966.92,1,Regular,551.88
12563,409,1,249.24,0,At Risk,249.24
12564,261,1,456.9,0,At Risk,456.9
12565,289,1,145.92000000000002,0,At Risk,145.92000000000002
12566,86,1,351.65,1,Regular,351.65
12567,23,15,13709.86,1,Regular,913.9906666666667
12568,645,1,70.0,0,At Risk,70.0
12569,2,32,4124.6900000000005,1,Regular,128.89656250000002
12570,682,1,77.52,0,At Risk,77.52
12571,40,2,519.61,1,Regular,259.805
12572,9,2,1020.42,1,Regular,510.21
12573,227,5,717.41,1,Regular,143.482
12574,316,1,218.45,0,At Risk,218.45
12575,457,2,622.82,0,At Risk,311.41
12576,36,8,2142.7200000000003,1,Regular,267.84000000000003
12577,35,8,1653.75,1,Regular,206.71875
12578,21,4,4642.45,1,Regular,1160.6125
12579,78,1,440.42,1,Regular,440.42
12580,247,2,1052.9,1,Regular,526.45
12581,40,1,197.71,1,Regular,197.71
12582,239,4,1980.4,1,Regular,495.1
12583,3,27,14447.44,1,Regular,535.0903703703704
12584,4,9,2338.15,1,Regular,259.7944444444445
12585,234,2,2040.1,1,Regular,1020.05
12586,17,4,2062.67,1,Regular,515.6675
12587,8,1,144.0,1,Regular,144.0
12588,39,4,958.78,1,Regular,239.695
12589,29,8,4695.66,1,Regular,586.9575
12590,211,2,9864.26,1,Regular,4932.13
12591,317,3,1352.15,0,At Risk,450.7166666666667
12592,92,5,2582.66,1,Regular,516.5319999999999
12593,109,3,418.1,1,Regular,139.36666666666667
12594,38,15,5090.110000000001,1,Regular,339.3406666666667
12595,505,1,299.02,0,At Risk,299.02
12596,51,2,618.27,1,Regular,309.135
12597,19,4,3811.22,1,Regular,952.805
12598,10,11,4534.09,1,Regular,412.19
12599,29,13,2296.72,1,Regular,176.67076923076922
12600,29,21,5043.92,1,Regular,240.18666666666667
12601,190,6,681.26,1,Regular,113.54333333333334
12602,59,1,153.12,1,Regular,153.12
12603,22,1,739.1999999999999,1,Regular,739.1999999999999
12604,79,2,254.18,1,Regular,127.09
12605,376,4,1232.95,0,At Risk,308.2375
12606,682,1,21.0,0,At Risk,21.0
12607,60,1,1579.51,1,Regular,1579.51
12608,405,1,415.79,0,At Risk,415.79
12609,78,9,3435.86,1,Regular,381.76222222222225
12610,23,5,2099.54,1,Regular,419.908
12611,52,1,1193.32,1,Regular,1193.32
12612,74,1,704.04,1,Regular,704.04
12613,57,10,6835.07,1,Regular,683.507
12614,278,1,315.6,0,At Risk,315.6
12615,2,8,5740.9800000000005,1,Regular,717.6225000000001
12616,95,3,1131.1,1,Regular,377.0333333333333
12617,29,1,355.53000000000003,1,Regular,355.53000000000003
12618,22,1,177.31,1,Regular,177.31
12619,16,10,3781.38,1,Regular,378.13800000000003
12620,15,3,1339.41,1,Regular,446.47
12621,2,35,24775.81,1,Regular,707.8802857142857
12622,232,1,180.1,1,Regular,180.1
12623,276,7,3747.84,0,At Risk,535.4057142857143
12624,106,2,641.13,1,Regular,320.565
12625,212,4,5164.88,1,Regular,1291.22
12626,23,9,6620.4800000000005,1,Regular,735.6088888888889
12627,11,7,4478.53,1,Regular,639.79
12628,4,3,786.46,1,Regular,262.15333333333336
12629,386,2,1558.22,0,At Risk,779.11
12630,10,2,1270.88,1,Regular,635.44
12631,57,6,3481.57,1,Regular,580.2616666666667
12632,521,2,804.88,0,At Risk,402.44
12633,59,7,5678.16,1,Regular,811.1657142857142
12634,536,2,490.0,0,At Risk,245.0
12635,90,4,2930.41,1,Regular,732.6025
12636,739,1,141.0,0,At Risk,141.0
12637,67,12,8340.31,1,Regular,695.0258333333333
12638,33,2,921.49,1,Regular,460.745
12639,239,3,1312.37,1,Regular,437.45666666666665
12640,24,3,1174.58,1,Regular,391.52666666666664
12641,115,1,185.9,1,Regular,185.9
12642,25,3,1013.26,1,Regular,337.75333333333333
12643,128,12,8350.42,1,Regular,695.8683333333333
12644,130,4,1918.49,1,Regular,479.6225
12645,34,8,3539.3,1,Regular,442.4125
12646,5,2,1346.97,1,Regular,673.485
12647,22,36,17924.35,1,Regular,497.89861111111105
12648,155,4,1112.0,1,Regular,278.0
12649,107,8,2294.65,1,Regular,286.83125
12650,3,1,314.44,1,Regular,314.44
12651,335,4,377.75,0,At Risk,94.4375
12652,331,2,1017.03,0,At Risk,508.515
12653,149,3,4160.83,1,Regular,1386.9433333333334
12654,11,5,601.98,1,Regular,120.396
12655,424,1,261.35,0,At Risk,261.35
12656,17,8,6407.83,1,Regular,800.97875
12657,11,4,1643.18,1,Regular,410.795
12658,19,1,686.05,1,Regular,686.05
12659,30,1,91.68,1,Regular,91.68
12660,11,1,245.1,1,Regular,245.1
12661,436,1,162.0,0,At Risk,162.0
12662,1,20,6988.02,1,Regular,349.401
12663,625,2,239.4,0,At Risk,119.7
12664,8,11,6070.04,1,Regular,551.8218181818182
12665,325,3,313.6,0,At Risk,104.53333333333335
12666,394,1,1248.42,0,At Risk,1248.42
12667,58,1,620.13,1,Regular,620.13
12668,12,10,11444.68,1,Regular,1144.468
12669,151,3,2744.03,1,Regular,914.6766666666667
12670,10,7,3760.29,1,Regular,537.1842857142857
12671,606,1,2622.481,0,At Risk,2622.481
12672,330,2,437.05,0,At Risk,218.525
12673,5,3,1230.02,1,Regular,410.00666666666666
12674,39,4,1970.6,1,Regular,492.65
12675,554,2,958.5,0,At Risk,479.25
12676,25,11,2843.09,1,Regular,258.4627272727273
12677,555,2,395.1,0,At Risk,197.55
12678,42,21,34281.18,1,Regular,1632.4371428571428
12679,59,4,1113.02,1,Regular,278.255
12680,1,4,880.81,1,Regular,220.2025
12681,15,45,30868.28,1,Regular,685.9617777777778
12682,4,52,24033.91,1,Regular,462.19057692307695
12683,4,21,12696.78,1,Regular,604.6085714285715
12684,8,7,2283.63,1,Regular,326.23285714285714
12685,28,6,2863.08,1,Regular,477.18
12686,372,1,178.28,0,At Risk,178.28
12687,481,2,2138.91,0,At Risk,1069.455
12688,114,1,4873.81,1,Regular,4873.81
12689,26,2,1247.61,1,Regular,623.805
12690,206,1,389.01,1,Regular,389.01
12691,28,7,1170.4,1,Regular,167.20000000000002
12692,637,1,110.95,0,At Risk,110.95
12693,127,7,1703.02,1,Regular,243.28857142857143
12694,70,3,1843.35,1,Regular,614.4499999999999
12695,7,7,1407.12,1,Regular,201.01714285714283
12696,435,2,851.91,0,At Risk,425.955
12697,29,3,957.59,1,Regular,319.19666666666666
12698,590,1,339.75,0,At Risk,339.75
12699,418,1,638.11,0,At Risk,638.11
12700,8,4,4939.99,1,Regular,1234.9975
12701,80,6,2446.41,1,Regular,407.73499999999996
12702,20,1,219.0,1,Regular,219.0
12703,71,4,1006.53,1,Regular,251.6325
12704,7,8,2340.84,1,Regular,292.605
12705,15,14,11762.1,1,Regular,840.15
12707,292,1,603.42,0,At Risk,603.42
12708,30,18,5314.1,1,Regular,295.2277777777778
12709,15,34,31093.34,1,Regular,914.51
12710,97,3,1149.02,1,Regular,383.00666666666666
12711,612,2,1339.05,0,At Risk,669.525
12712,29,21,7193.66,1,Regular,342.5552380952381
12713,1,1,848.55,1,Regular,848.55
12714,9,12,14093.71,1,Regular,1174.4758333333332
12715,106,1,353.86,1,Regular,353.86
12716,4,2,1053.49,1,Regular,526.745
12717,151,3,1308.91,1,Regular,436.30333333333334
12718,71,1,238.25,1,Regular,238.25
12719,5,2,644.95,1,Regular,322.475
12720,3,30,8260.67,1,Regular,275.35566666666665
12721,32,8,4013.08,1,Regular,501.635
12722,85,4,997.63,1,Regular,249.4075
12723,4,5,725.07,1,Regular,145.014
12724,5,7,2317.52,1,Regular,331.07428571428574
12725,371,4,2694.56,0,At Risk,673.64
12726,28,11,4014.6,1,Regular,364.96363636363634
12727,11,10,5679.53,1,Regular,567.953
12728,71,5,1070.17,1,Regular,214.03400000000002
12729,114,1,453.01,1,Regular,453.01
12730,522,1,829.25,0,At Risk,829.25
12731,24,17,25775.71,1,Regular,1516.2182352941177
12732,180,1,236.26,1,Regular,236.26
12733,234,4,2424.87,1,Regular,606.2175
12734,353,3,639.65,0,At Risk,213.21666666666667
12735,315,2,779.5699999999999,0,At Risk,389.78499999999997
12736,333,1,234.0,0,At Risk,234.0
12737,499,2,3710.5,0,At Risk,1855.25
12738,372,1,310.7,0,At Risk,310.7
12739,78,4,2726.73,1,Regular,681.6825
12740,64,1,427.6,1,Regular,427.6
12741,529,2,406.07,0,At Risk,203.035
12742,626,1,1201.52,0,At Risk,1201.52
12743,134,2,546.43,1,Regular,273.215
12744,52,11,25317.06,1,Regular,2301.550909090909
12745,487,3,925.41,0,At Risk,308.46999999999997
12746,541,1,254.55,0,At Risk,254.55
12747,2,26,9276.54,1,Regular,356.79
12748,1,336,56599.39,2,VIP,168.45056547619046
12749,4,9,6897.36,1,Regular,766.3733333333333
12750,129,1,275.88,1,Regular,275.88
12751,445,1,268.27,0,At Risk,268.27
12752,81,1,4366.78,1,Regular,4366.78
12753,23,6,21429.39,1,Regular,3571.565
12754,236,3,3010.74,1,Regular,1003.5799999999999
12755,281,11,9030.66,1,Regular,820.9690909090909
12756,87,1,112.08,1,Regular,112.08
12757,16,13,7857.1,1,Regular,604.3923076923077
12758,117,7,9903.24,1,Regular,1414.7485714285715
12759,52,8,5020.74,1,Regular,627.5925
12760,456,1,347.8,0,At Risk,347.8
12761,458,2,782.95,0,At Risk,391.475
12762,8,2,1898.52,1,Regular,949.26
12763,138,2,814.16,1,Regular,407.08
12764,317,1,1693.88,0,At Risk,1693.88
12765,472,6,1404.58,0,At Risk,234.09666666666666
12766,4,9,10068.28,1,Regular,1118.697777777778
12767,376,1,949.82,0,At Risk,949.82
12768,451,1,168.69,0,At Risk,168.69
12769,239,1,1143.6,1,Regular,1143.6
12770,211,2,3246.45,1,Regular,1623.225
12771,486,1,282.3,0,At Risk,282.3
12772,60,1,892.47,1,Regular,892.47
12773,564,1,124.25,0,At Risk,124.25
12774,536,1,98.7,0,At Risk,98.7
12775,17,7,1686.12,1,Regular,240.8742857142857
12776,668,1,55.5,0,At Risk,55.5
12777,458,1,519.45,0,At Risk,519.45
12778,20,9,1775.68,1,Regular,197.29777777777778
12779,38,14,6722.27,1,Regular,480.1621428571429
12780,599,1,337.4,0,At Risk,337.4
12781,64,2,826.74,1,Regular,413.37
12782,5,11,4618.24,1,Regular,419.84
12783,2,6,2225.91,1,Regular,370.98499999999996
12784,9,3,1804.75,1,Regular,601.5833333333334
12785,364,3,1100.4,0,At Risk,366.8
12786,610,1,728.5000000000001,0,At Risk,728.5000000000001
12787,10,4,862.1800000000001,1,Regular,215.54500000000002
12788,463,4,444.9,0,At Risk,111.225
12789,65,3,273.35,1,Regular,91.11666666666667
12790,192,2,591.85,1,Regular,295.925
12791,374,6,1056.11,0,At Risk,176.01833333333332
12792,257,2,827.01,0,At Risk,413.505
12793,335,3,1017.33,0,At Risk,339.11
12794,53,2,860.41,1,Regular,430.205
12795,19,1,430.48,1,Regular,430.48
12796,628,1,381.0,0,At Risk,381.0
12797,366,2,806.11,0,At Risk,403.055
12798,10,4,8510.93,1,Regular,2127.7325
12799,529,1,219.35,0,At Risk,219.35
12800,470,3,584.25,0,At Risk,194.75
12801,501,1,1071.82,0,At Risk,1071.82
12802,187,7,2416.42,1,Regular,345.20285714285717
12803,393,1,1092.81,0,At Risk,1092.81
12804,466,2,327.02,0,At Risk,163.51
12805,382,4,1434.95,0,At Risk,358.7375
12806,435,4,2878.96,0,At Risk,719.74
12807,383,1,330.35,0,At Risk,330.35
12808,37,5,906.1,1,Regular,181.22
12809,178,3,1755.94,1,Regular,585.3133333333334
12810,535,2,534.99,0,At Risk,267.495
12811,261,5,1033.9,1,Regular,206.78000000000003
12812,45,1,229.64,1,Regular,229.64
12813,502,3,1687.8,0,At Risk,562.6
12814,102,1,125.92,1,Regular,125.92
12815,148,2,1063.46,1,Regular,531.73
12816,96,2,572.2,1,Regular,286.1
12817,281,3,690.98,0,At Risk,230.32666666666668
12818,262,1,1542.08,0,At Risk,1542.08
12819,458,1,540.52,0,At Risk,540.52
12820,3,11,2689.52,1,Regular,244.50181818181818
12821,214,2,220.8,1,Regular,110.4
12822,71,2,948.88,1,Regular,474.44
12823,75,18,6501.5,1,Regular,361.19444444444446
12824,60,1,397.12,1,Regular,397.12
12825,521,2,518.63,0,At Risk,259.315
12826,3,12,2955.75,1,Regular,246.3125
12827,6,3,430.15,1,Regular,143.38333333333333
12828,3,6,1018.71,1,Regular,169.785
12829,337,3,385.3,0,At Risk,128.43333333333334
12830,38,6,6814.64,1,Regular,1135.7733333333333
12831,262,3,451.11,0,At Risk,150.37
12832,32,2,383.03,1,Regular,191.515
12833,145,1,417.38,1,Regular,417.38
12834,283,1,312.38,0,At Risk,312.38
12835,428,41,6043.31,0,At Risk,147.3978048780488
12836,59,15,6585.62,1,Regular,439.04133333333334
12837,173,2,688.41,1,Regular,344.205
12838,34,10,3398.48,1,Regular,339.848
12839,3,26,10071.73,1,Regular,387.37423076923073
12840,144,7,4041.97,1,Regular,577.4242857142857
12841,5,40,7540.68,1,Regular,188.517
12842,70,4,1917.99,1,Regular,479.4975
12843,66,30,6588.41,1,Regular,219.61366666666666
12844,29,4,648.6,1,Regular,162.15
12845,267,4,354.09000000000003,0,At Risk,88.52250000000001
12846,682,1,15.58,0,At Risk,15.58
12847,22,2,1636.9,1,Regular,818.45
12848,676,1,208.0,0,At Risk,208.0
12849,31,6,3090.56,1,Regular,515.0933333333334
12850,446,1,330.0,0,At Risk,330.0
12851,97,2,284.13,1,Regular,142.065
12852,295,1,311.55,0,At Risk,311.55
12853,135,11,3907.5,1,Regular,355.22727272727275
12854,79,7,2994.02,1,Regular,427.71714285714285
12855,373,4,650.94,0,At Risk,162.735
12856,8,6,2179.93,1,Regular,363.32166666666666
12857,211,6,3688.0,1,Regular,614.6666666666666
12858,383,1,177.92,0,At Risk,177.92
12859,459,1,575.1,0,At Risk,575.1
12860,693,1,55.47,0,At Risk,55.47
12861,620,1,68.25,0,At Risk,68.25
12862,426,2,1008.32,0,At Risk,504.16
12863,52,6,2792.55,1,Regular,465.425
12864,138,2,299.57,1,Regular,149.785
12865,26,4,3323.4700000000003,1,Regular,830.8675000000001
12866,283,3,1227.35,0,At Risk,409.1166666666666
12867,26,13,7913.29,1,Regular,608.7146153846154
12868,186,8,2247.06,1,Regular,280.8825
12869,682,1,337.67,0,At Risk,337.67
12870,375,3,1676.95,0,At Risk,558.9833333333333
12871,84,3,744.02,1,Regular,248.00666666666666
12872,327,12,3685.49,0,At Risk,307.12416666666667
12873,282,3,2027.3,0,At Risk,675.7666666666667
12874,385,2,948.42,0,At Risk,474.21
12875,143,5,1356.9900000000002,1,Regular,271.398
12876,58,4,4081.79,1,Regular,1020.4475
12877,4,20,2955.17,1,Regular,147.7585
12878,236,2,854.99,1,Regular,427.495
12879,45,3,573.22,1,Regular,191.07333333333335
12880,382,2,640.13,0,At Risk,320.065
12881,276,1,298.0,0,At Risk,298.0
12882,9,2,1463.04,1,Regular,731.52
12883,25,4,703.47,1,Regular,175.8675
12884,88,1,309.05,1,Regular,309.05
12885,63,3,1175.22,1,Regular,391.74
12886,68,2,1378.4,1,Regular,689.2
12887,384,1,222.4,0,At Risk,222.4
12888,214,2,354.12,1,Regular,177.06
12889,381,4,385.46,0,At Risk,96.365
12890,24,2,717.27,1,Regular,358.635
12891,186,11,840.5,1,Regular,76.4090909090909
12892,397,1,263.38,0,At Risk,263.38
12893,31,1,188.14,1,Regular,188.14
12894,575,1,157.35,0,At Risk,157.35
12895,42,2,372.8,1,Regular,186.4
12897,205,4,514.25,1,Regular,128.5625
12898,464,2,310.96,0,At Risk,155.48
12899,414,1,366.4,0,At Risk,366.4
12900,422,1,340.33000000000004,0,At Risk,340.33000000000004
12901,9,28,17654.54,1,Regular,630.5192857142857
12902,265,1,138.68,0,At Risk,138.68
12903,429,1,833.5300000000001,0,At Risk,833.5300000000001
12904,18,2,509.58,1,Regular,254.79
12905,577,2,1018.42,0,At Risk,509.21
12906,12,5,2919.81,1,Regular,583.962
12907,396,2,508.91,0,At Risk,254.455
12908,176,5,1776.0,1,Regular,355.2
12909,40,8,3103.19,1,Regular,387.89875
12910,23,13,5796.52,1,Regular,445.8861538461539
12911,552,1,1680.47,0,At Risk,1680.47
12912,3,5,1662.3,1,Regular,332.46
12913,5,13,6700.86,1,Regular,515.4507692307692
12914,401,1,223.98,0,At Risk,223.98
12915,149,4,1174.75,1,Regular,293.6875
12916,139,7,4654.02,1,Regular,664.86
12917,128,6,4359.2,1,Regular,726.5333333333333
12918,626,1,10953.5,0,At Risk,10953.5
12919,8,6,1335.19,1,Regular,222.53166666666667
12920,17,4,488.09,1,Regular,122.0225
12921,9,74,35921.04,2,VIP,485.41945945945946
12922,161,1,405.38,1,Regular,405.38
12923,64,3,789.87,1,Regular,263.29
12924,88,12,2469.4,1,Regular,205.78333333333333
12925,5,3,729.33,1,Regular,243.11
12926,411,4,1548.46,0,At Risk,387.115
12927,395,1,197.31,0,At Risk,197.31
12928,35,12,4304.89,1,Regular,358.74083333333334
12929,312,1,117.85,0,At Risk,117.85
12930,78,2,415.8,1,Regular,207.9
12931,22,57,92347.34,2,VIP,1620.1287719298246
12932,539,8,1698.56,0,At Risk,212.32
12933,24,8,1687.03,1,Regular,210.87875
12934,737,1,181.65,0,At Risk,181.65
12935,2,15,4243.86,1,Regular,282.924
12936,17,4,1063.9,1,Regular,265.975
12937,15,9,3097.61,1,Regular,344.1788888888889
12938,26,1,114.14,1,Regular,114.14
12939,64,20,25264.8,1,Regular,1263.24
12940,55,2,913.54,1,Regular,456.77
